City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Avarua,CK,-21.2078,-159.775,74.07,74,100,13.15,overcast clouds
185,Bambous Virieux,MU,-20.3428,57.7575,71.22,74,39,15.08,light rain
186,Vanavara,RU,60.34,102.2797,38.8,94,70,3.6,broken clouds
187,Rognan,NO,67.0953,15.3878,52.88,86,97,10.89,moderate rain
188,Alice Springs,AU,-23.7,133.8833,57.22,26,0,24.96,clear sky
189,Bilibino,RU,68.0546,166.4372,51.04,94,100,3.65,overcast clouds
190,Baculin,PH,7.4525,126.5842,78.6,85,100,8.99,overcast clouds
191,Sokoto,NG,13.0609,5.239,90.18,52,90,6.73,overcast clouds
192,Hohhot,CN,40.8106,111.6522,60.98,33,27,6.96,scattered clouds
193,Buraydah,SA,26.326,43.975,102.11,11,27,7.99,scattered clouds
194,Rawson,AR,-43.3002,-65.1023,62.55,34,99,28.54,overcast clouds
195,Talnakh,RU,69.4865,88.3972,48.02,94,100,9.1,moderate rain
196,Pevek,RU,69.7008,170.3133,47.48,71,100,20.71,overcast clouds
197,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.03,61,90,11.16,overcast clouds
198,Pestyaki,RU,56.7103,42.6717,72.88,56,79,5.93,broken clouds
199,Vaitape,PF,-16.5167,-151.75,77.56,76,100,17.58,light rain
200,Husavik,IS,66.0449,-17.3389,45.52,76,98,5.32,overcast clouds
201,Rio Bravo,MX,25.9833,-98.1,94.05,53,100,14.99,overcast clouds
202,Port Blair,IN,11.6667,92.75,81.05,85,100,11.86,light rain
203,Fortuna,US,40.5982,-124.1573,69.93,79,0,2.75,clear sky
204,New London,US,41.4834,-72.0662,74.19,95,100,2.35,moderate rain
205,Lebu,CL,-37.6167,-73.65,54.52,82,84,9.93,broken clouds
206,Auki,SB,-8.7676,160.7034,76.08,88,10,4.07,clear sky
207,Kaitangata,NZ,-46.2817,169.8464,39.0,95,17,4.03,few clouds
208,Laguna,US,38.421,-121.4238,79.09,71,4,1.99,clear sky
209,Tiksi,RU,71.6872,128.8694,37.72,86,99,9.95,overcast clouds
210,Fomboni,KM,-12.28,43.7425,75.94,76,0,8.16,clear sky
211,La Mana,EC,-0.9333,-79.2167,77.72,76,100,2.71,overcast clouds
212,Malartic,CA,48.1335,-78.1328,77.02,59,23,1.9,few clouds
213,Burnie,AU,-41.0667,145.9167,39.94,79,95,9.69,overcast clouds
214,Mersing,MY,2.4312,103.8405,78.22,90,59,6.04,light rain
215,Katra,IN,32.9833,74.95,77.4,80,63,4.38,broken clouds
216,Suleja,NG,9.1758,7.1808,78.48,84,100,2.19,moderate rain
217,Santa Cruz Del Sur,CU,20.7147,-77.9956,89.35,56,3,12.15,clear sky
218,Vuktyl,RU,63.8567,57.3094,64.74,52,43,4.18,scattered clouds
219,Iralaya,HN,15.0,-83.2333,82.0,79,99,7.07,overcast clouds
220,Ucluelet,CA,48.9329,-125.5528,63.09,89,79,4.83,broken clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,91.62,58,91,8.23,overcast clouds
222,Llanes,ES,43.4198,-4.7549,73.17,83,93,3.42,overcast clouds
223,Kungurtug,RU,50.5994,97.5228,43.48,94,100,2.24,overcast clouds
224,San Patricio,US,28.017,-97.5169,90.91,56,93,13.67,overcast clouds
225,Baykit,RU,61.67,96.37,44.42,94,100,5.66,overcast clouds
226,Severo-Kurilsk,RU,50.6789,156.125,55.02,80,64,5.97,broken clouds
227,Tarko-Sale,RU,64.9225,77.785,57.15,72,97,8.28,overcast clouds
228,Sitka,US,57.0531,-135.33,61.38,88,100,3.31,overcast clouds
229,Puri,IN,19.8,85.85,84.87,76,100,8.57,overcast clouds
230,Smithers,CA,54.7804,-127.1743,68.05,72,95,2.48,overcast clouds
231,Sioux Lookout,CA,50.1001,-91.917,67.39,80,93,6.49,overcast clouds
232,Longyearbyen,SJ,78.2186,15.6401,43.9,65,27,8.19,scattered clouds
233,Qaqortoq,GL,60.7167,-46.0333,44.82,69,65,4.76,broken clouds
