City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Itoman,JP,84.4,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
509,Half Moon Bay,US,71.58,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
510,Southbridge,US,73.22,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
511,Inirida,CO,78.82,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
514,Chino Valley,US,81.1,scattered clouds,34.7575,-112.4538,Primrose Inn & Suites
515,Ferrol,ES,73.24,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
516,Winnemucca,US,81.05,clear sky,40.973,-117.7357,Winners Inn Casino
517,Cartagena Del Chaira,CO,80.58,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
519,Ingham,US,76.15,few clouds,42.6,-84.3833,Sunset Mobile Home Park
522,Tuy Hoa,VN,79.43,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
524,Tautira,PF,76.5,light rain,-17.7333,-149.15,Pension Oaoa
525,Thunder Bay,CA,76.05,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
526,Kutum,SD,84.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
529,Gazanjyk,TM,79.92,clear sky,39.2446,55.5154,Railway motel
531,Thoen,TH,75.45,overcast clouds,17.6129,99.2161,บ้านห้องนอน
532,Conde,BR,78.06,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
533,Mattru,SL,79.68,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
535,Kapan,AM,72.14,clear sky,39.2075,46.4058,Grand House
539,Price,US,73.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
541,Santa Rita Do Sapucai,BR,78.08,clear sky,-22.2522,-45.7033,Carlito's Hostel
542,Ribeira Grande,PT,73.76,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
543,Praia,CV,81.25,overcast clouds,14.9215,-23.5087,LT Aparthotel
544,Atlantic City,US,81.18,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
546,Mattawa,US,80.02,overcast clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
